"","data_label","year","gear.x","julian","sample_num","region","prob","gear.y","sampleDate","Length","Fresh.Water.Age","Salt.Water.Age","Total.Age","AGE","Sex"
"1","EagleSonar",2008,"Test Fishery",193,2,38,0.9981,"Test Fishery","2008-07-11",840,1,4,1.4,6,"female"
"2","EagleSonar",2008,"Test Fishery",193,3,36,0.6737,"Test Fishery","2008-07-11",700,1,3,1.3,5,"male"
"3","EagleSonar",2008,"Test Fishery",193,4,36,0.7909,"Test Fishery","2008-07-11",765,1,3,1.3,5,"male"
"4","EagleSonar",2008,"Test Fishery",193,5,36,0.6847,"Test Fishery","2008-07-11",745,1,3,1.3,5,"male"
"5","EagleSonar",2008,"Test Fishery",193,6,36,0.7268,"Test Fishery","2008-07-11",700,1,3,1.3,5,"male"
"6","EagleSonar",2008,"Test Fishery",193,7,33,0.616,"Test Fishery","2008-07-11",755,1,3,1.3,5,"male"
"7","EagleSonar",2008,"Test Fishery",194,8,34,0.4599,"Test Fishery","2008-07-12",700,1,3,1.3,5,"male"
"8","EagleSonar",2008,"Test Fishery",194,9,32,0.4178,"Test Fishery","2008-07-12",700,1,3,1.3,5,"male"
"9","EagleSonar",2008,"Test Fishery",194,10,34,0.4018,"Test Fishery","2008-07-12",700,1,3,1.3,5,"male"
"10","EagleSonar",2008,"Test Fishery",194,11,33,0.662,"Test Fishery","2008-07-12",670,1,3,1.3,5,"male"
"11","EagleSonar",2008,"Test Fishery",194,12,36,0.7831,"Test Fishery","2008-07-12",705,NA,NA,NA,NA,"male"
"12","EagleSonar",2008,"Test Fishery",194,13,34,0.2256,"Test Fishery","2008-07-12",735,1,3,1.3,5,"male"
"13","EagleSonar",2008,"Test Fishery",194,14,34,0.4976,"Test Fishery","2008-07-12",720,NA,NA,NA,NA,"male"
"14","EagleSonar",2008,"Test Fishery",195,15,38,0.6489,"Test Fishery","2008-07-13",915,1,4,1.4,6,"female"
"15","EagleSonar",2008,"Test Fishery",195,16,36,0.8287,"Test Fishery","2008-07-13",775,1,3,1.3,5,"male"
"16","EagleSonar",2008,"Test Fishery",195,17,34,0.4567,"Test Fishery","2008-07-13",810,1,4,1.4,6,"male"
"17","EagleSonar",2008,"Test Fishery",195,18,36,0.7758,"Test Fishery","2008-07-13",945,1,4,1.4,6,"male"
"18","EagleSonar",2008,"Test Fishery",195,19,34,0.7413,"Test Fishery","2008-07-13",760,1,3,1.3,5,"male"
"19","EagleSonar",2008,"Test Fishery",196,20,38,0.575,"Test Fishery","2008-07-14",670,1,3,1.3,5,"male"
"20","EagleSonar",2008,"Test Fishery",196,21,34,0.9563,"Test Fishery","2008-07-14",680,1,3,1.3,5,"male"
"21","EagleSonar",2008,"Test Fishery",196,22,35,0.7353,"Test Fishery","2008-07-14",700,1,3,1.3,5,"male"
"22","EagleSonar",2008,"Test Fishery",196,23,35,0.5053,"Test Fishery","2008-07-14",740,NA,NA,NA,NA,"male"
"23","EagleSonar",2008,"Test Fishery",196,24,34,0.9634,"Test Fishery","2008-07-14",760,NA,NA,NA,NA,"female"
"24","EagleSonar",2008,"Test Fishery",196,25,33,0.5277,"Test Fishery","2008-07-14",750,NA,NA,NA,NA,"male"
"25","EagleSonar",2008,"Test Fishery",196,26,34,0.6931,"Test Fishery","2008-07-14",790,1,3,1.3,5,"female"
"26","EagleSonar",2008,"Test Fishery",196,27,38,0.9867,"Test Fishery","2008-07-14",720,1,3,1.3,5,"female"
"27","EagleSonar",2008,"Test Fishery",196,28,35,0.3558,"Test Fishery","2008-07-14",720,1,3,1.3,5,"male"
"28","EagleSonar",2008,"Test Fishery",196,29,33,0.4253,"Test Fishery","2008-07-14",760,1,3,1.3,5,"male"
"29","EagleSonar",2008,"Test Fishery",196,30,38,0.656,"Test Fishery","2008-07-14",740,NA,NA,NA,NA,"male"
"30","EagleSonar",2008,"Test Fishery",196,31,38,0.8108,"Test Fishery","2008-07-14",740,1,3,1.3,5,"female"
"31","EagleSonar",2008,"Test Fishery",196,32,38,0.9993,"Test Fishery","2008-07-14",760,1,5,1.5,7,"female"
"32","EagleSonar",2008,"Test Fishery",197,33,32,0.4934,"Test Fishery","2008-07-15",830,1,3,1.3,5,"female"
"33","EagleSonar",2008,"Test Fishery",197,34,34,0.5387,"Test Fishery","2008-07-15",720,1,3,1.3,5,"female"
"34","EagleSonar",2008,"Test Fishery",197,35,38,0.5211,"Test Fishery","2008-07-15",690,1,3,1.3,5,"male"
"35","EagleSonar",2008,"Test Fishery",197,36,34,0.3149,"Test Fishery","2008-07-15",720,1,3,1.3,5,"female"
"36","EagleSonar",2008,"Test Fishery",197,37,34,0.366,"Test Fishery","2008-07-15",880,1,4,1.4,6,"male"
"37","EagleSonar",2008,"Test Fishery",197,38,38,0.4277,"Test Fishery","2008-07-15",750,1,3,1.3,5,"male"
