count_type,month,day,count,year,julian
fishWheel,6,23,0,1985,174
fishWheel,6,24,0,1985,175
fishWheel,6,25,0,1985,176
fishWheel,6,26,0,1985,177
fishWheel,6,27,0,1985,178
fishWheel,6,28,0,1985,179
fishWheel,6,29,0,1985,180
fishWheel,6,30,0,1985,181
fishWheel,7,1,0,1985,182
fishWheel,7,2,0,1985,183
fishWheel,7,3,0,1985,184
fishWheel,7,4,0,1985,185
fishWheel,7,5,0,1985,186
fishWheel,7,6,0,1985,187
fishWheel,7,7,0,1985,188
fishWheel,7,8,0,1985,189
fishWheel,7,9,0,1985,190
fishWheel,7,10,0,1985,191
fishWheel,7,11,0,1985,192
fishWheel,7,12,0,1985,193
fishWheel,7,13,0,1985,194
fishWheel,7,14,0,1985,195
fishWheel,7,15,0,1985,196
fishWheel,7,16,0,1985,197
fishWheel,7,17,0,1985,198
fishWheel,7,18,1,1985,199
fishWheel,7,19,9,1985,200
fishWheel,7,20,11,1985,201
fishWheel,7,21,16,1985,202
fishWheel,7,22,15,1985,203
fishWheel,7,23,33,1985,204
fishWheel,7,24,26,1985,205
fishWheel,7,25,32,1985,206
fishWheel,7,26,37,1985,207
fishWheel,7,27,52,1985,208
fishWheel,7,28,81,1985,209
fishWheel,7,29,69,1985,210
fishWheel,7,30,66,1985,211
fishWheel,7,31,88,1985,212
fishWheel,8,1,82,1985,213
fishWheel,8,2,163,1985,214
fishWheel,8,3,138,1985,215
fishWheel,8,4,50,1985,216
fishWheel,8,5,35,1985,217
fishWheel,8,6,36,1985,218
fishWheel,8,7,41,1985,219
fishWheel,8,8,35,1985,220
fishWheel,8,9,28,1985,221
fishWheel,8,10,20,1985,222
fishWheel,8,11,23,1985,223
fishWheel,8,12,13,1985,224
fishWheel,8,13,13,1985,225
fishWheel,8,14,14,1985,226
fishWheel,8,15,11,1985,227
fishWheel,8,16,17,1985,228
fishWheel,8,17,7,1985,229
fishWheel,8,18,3,1985,230
fishWheel,8,19,1,1985,231
fishWheel,8,20,5,1985,232
fishWheel,8,21,4,1985,233
fishWheel,8,22,0,1985,234
fishWheel,8,23,9,1985,235
fishWheel,8,24,9,1985,236
fishWheel,8,25,2,1985,237
fishWheel,8,26,5,1985,238
fishWheel,8,27,5,1985,239
fishWheel,8,28,2,1985,240
fishWheel,8,29,1,1985,241
fishWheel,8,30,3,1985,242
fishWheel,8,31,4,1985,243
fishWheel,9,1,0,1985,244
fishWheel,9,2,0,1985,245
fishWheel,9,3,3,1985,246
fishWheel,9,4,0,1985,247
fishWheel,9,5,0,1985,248
fishWheel,9,6,0,1985,249
fishWheel,9,7,1,1985,250
fishWheel,9,8,0,1985,251
fishWheel,9,9,0,1985,252
fishWheel,9,10,0,1985,253
fishWheel,9,11,0,1985,254
fishWheel,9,12,0,1985,255
fishWheel,9,13,1,1985,256
fishWheel,9,14,0,1985,257
fishWheel,9,15,0,1985,258
fishWheel,9,16,0,1985,259
fishWheel,9,17,0,1985,260
fishWheel,9,18,1,1985,261
fishWheel,9,19,0,1985,262
fishWheel,9,20,0,1985,263
fishWheel,9,21,0,1985,264
fishWheel,9,22,0,1985,265
fishWheel,9,23,0,1985,266
fishWheel,9,24,0,1985,267
fishWheel,9,25,0,1985,268
fishWheel,9,26,0,1985,269
fishWheel,9,27,0,1985,270
fishWheel,9,28,0,1985,271
fishWheel,9,29,0,1985,272
fishWheel,9,30,0,1985,273
fishWheel,10,1,0,1985,274
fishWheel,10,2,0,1985,275
fishWheel,10,3,0,1985,276
fishWheel,10,4,0,1985,277
fishWheel,10,5,0,1985,278
fishWheel,10,6,0,1985,279
fishWheel,10,7,0,1985,280
fishWheel,10,8,0,1985,281
fishWheel,10,9,0,1985,282
fishWheel,10,10,0,1985,283
fishWheel,6,23,0,1986,174
fishWheel,6,24,0,1986,175
fishWheel,6,25,0,1986,176
fishWheel,6,26,0,1986,177
fishWheel,6,27,0,1986,178
fishWheel,6,28,0,1986,179
fishWheel,6,29,0,1986,180
fishWheel,6,30,0,1986,181
fishWheel,7,1,0,1986,182
fishWheel,7,2,0,1986,183
fishWheel,7,3,0,1986,184
fishWheel,7,4,0,1986,185
fishWheel,7,5,1,1986,186
fishWheel,7,6,0,1986,187
fishWheel,7,7,1,1986,188
fishWheel,7,8,0,1986,189
fishWheel,7,9,4,1986,190
fishWheel,7,10,4,1986,191
fishWheel,7,11,4,1986,192
fishWheel,7,12,14,1986,193
fishWheel,7,13,31,1986,194
fishWheel,7,14,45,1986,195
fishWheel,7,15,53,1986,196
fishWheel,7,16,121,1986,197
fishWheel,7,17,48,1986,198
fishWheel,7,18,51,1986,199
fishWheel,7,19,96,1986,200
fishWheel,7,20,95,1986,201
fishWheel,7,21,234,1986,202
fishWheel,7,22,200,1986,203
fishWheel,7,23,186,1986,204
fishWheel,7,24,115,1986,205
fishWheel,7,25,55,1986,206
fishWheel,7,26,65,1986,207
fishWheel,7,27,92,1986,208
fishWheel,7,28,76,1986,209
fishWheel,7,29,95,1986,210
fishWheel,7,30,98,1986,211
fishWheel,7,31,42,1986,212
fishWheel,8,1,40,1986,213
fishWheel,8,2,24,1986,214
fishWheel,8,3,15,1986,215
fishWheel,8,4,17,1986,216
fishWheel,8,5,10,1986,217
fishWheel,8,6,8,1986,218
fishWheel,8,7,8,1986,219
fishWheel,8,8,5,1986,220
fishWheel,8,9,7,1986,221
fishWheel,8,10,4,1986,222
fishWheel,8,11,2,1986,223
fishWheel,8,12,4,1986,224
fishWheel,8,13,4,1986,225
fishWheel,8,14,2,1986,226
fishWheel,8,15,3,1986,227
fishWheel,8,16,1,1986,228
fishWheel,8,17,1,1986,229
fishWheel,8,18,4,1986,230
fishWheel,8,19,3,1986,231
fishWheel,8,20,1,1986,232
fishWheel,8,21,1,1986,233
fishWheel,8,22,1,1986,234
fishWheel,8,23,1,1986,235
fishWheel,8,24,0,1986,236
fishWheel,8,25,1,1986,237
fishWheel,8,26,0,1986,238
fishWheel,8,27,2,1986,239
fishWheel,8,28,0,1986,240
fishWheel,8,29,0,1986,241
fishWheel,8,30,0,1986,242
fishWheel,8,31,0,1986,243
fishWheel,9,1,1,1986,244
fishWheel,9,2,0,1986,245
fishWheel,9,3,0,1986,246
fishWheel,9,4,1,1986,247
fishWheel,9,5,0,1986,248
fishWheel,9,6,0,1986,249
fishWheel,9,7,0,1986,250
fishWheel,9,8,0,1986,251
fishWheel,9,9,0,1986,252
fishWheel,9,10,0,1986,253
fishWheel,9,11,0,1986,254
