"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"1","Lower Mainstem",1985,12.1870113896748,16.0546613111189,21.3864119860649,3.13858704892339,4.25958912359735,5.79478609585536
"2","White-Donjek",1985,8.65933430519413,11.4383661499631,15.2117148361835,1.83311451476902,2.94889523145823,4.76706037976219
"3","Pelly",1985,14.75917624222,19.3395775926339,25.5006595510406,4.70007147973322,6.36263375988988,8.67505201015198
"4","Stewart",1985,9.78312915111195,13.4424592562396,18.9121303673822,2.9000812098769,4.18188459390109,6.09296061174989
"5","Carmacks",1985,6.98750278369803,9.27987038701907,12.4603986411124,2.90517018602182,4.16804302097767,6.10539351898905
"6","Teslin",1985,10.0992618066982,13.3277934955414,17.9473253634322,5.2340965534337,6.9738312467053,9.34410567665903
"7","Middle Mainstem",1985,11.743539788606,15.458357629931,20.5159765199952,6.58358237580516,8.24344781422883,10.3016309552774
"8","Upper Lakes and Mainstem",1985,8.36306200675393,11.139993760212,15.1738143103685,3.26648380414729,4.20963568772326,5.42674353106882
"9","Lower Mainstem",1986,24.0445830968456,30.7407831254222,39.4314089234187,5.98058774911655,7.41628681962326,9.32590546435573
"10","White-Donjek",1986,13.154324582675,16.818037364303,21.5871343986642,2.83654525670965,4.24950307720069,6.4764000813896
"11","Pelly",1986,26.2719960887147,33.2284598892057,42.7373351002459,7.52785333005255,9.86712879053154,12.9271957602763
"12","Stewart",1986,15.1240633613671,19.6889142102679,25.7725262731679,3.45328761915438,5.1081135270046,7.50409401633637
"13","Carmacks",1986,20.8624100464058,27.0640046428177,35.2935159674255,4.38857473457121,6.18610359742136,8.78457192933712
"14","Teslin",1986,20.7658621012444,26.4455142765934,34.3802153318878,6.4856671734788,8.67832049142099,11.5677658040443
"15","Middle Mainstem",1986,30.9096742232897,39.5819872484983,51.5179310732787,10.7858410862607,12.8123637247334,15.1677320513581
"16","Upper Lakes and Mainstem",1986,22.9388928721225,29.2952288525615,38.1642717256921,2.122312303286,2.839662128272,3.80409593407035
"17","Lower Mainstem",1987,23.8491942622036,30.5903683947095,39.9954098711709,3.50745392659179,4.66538304383147,6.23837818018723
"18","White-Donjek",1987,12.4812853880926,16.0959291011716,20.8813315953861,2.22235726022449,3.32677279591196,5.059791911976
"19","Pelly",1987,15.7329790561152,20.122185917565,25.7410199264306,5.77617412116418,7.43492017684946,9.49098188723846
"20","Stewart",1987,8.22989330866264,10.643465346508,13.8030719957312,2.35928823772362,3.44491852279867,4.98612068964729
