Year,MR,a.Tincup,f.Tatchun,a.Little.Sal,a.Nisutlin,a.Ross,a.Wolf,w.Blind,s.whitehorse,s.Big.Sal,a.Big.Sal,s.Teslin,S.Eagle,S.Eagle.sd,R.MR,R.MR.sd,P.w27,P.w28,P.w29,P.w30,P.w31,P.w32,P.w33,C.w27,C.w28,C.w29,C.w30,C.w31,C.w32,C.w33,E.w27,E.w28,E.w29,E.w30,E.w31,E.w32,E.w33
1981,,,133,670,1626,949,395,,1555,,2411,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,36598,,73,403,578,155,104,,473,,758,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,47741,100,264,101,701,43,95,,905,,540,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,150,153,434,832,151,124,,1042,,1044,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,29881,210,190,255,409,23,110,,508,,801,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,36479,228,155,54,459,72,109,,557,,745,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,30823,100,159,468,183,180,35,,327,,891,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,44445,204,152,368,267,242,66,,405,,765,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,42620,88,100,862,695,433,146,,549,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,56679,83,643,665,652,457,188,,1407,,1806,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,41187,,,326,,250,201,,1266,,1040,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,43185,73,106,494,241,423,110,,758,,617,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,45027,,183,184,339,400,168,,668,,572,,,,,,0.0798,0.1926,0.1982,0.1982,0.1789,0.0902,0.0306,34,170,1781,3154,2971,1444,407,7,10,45,68,68,68,33
1994,46680,101,477,726,389,506,393,,1577,,1764,,,,,,0.0116,0.093,0.2519,0.2101,0.1775,0.1287,0.0853,,141,1772,3821,2782,2225,797,,26,57,75,68,65,31
1995,52353,121,397,781,274,253,229,,2103,,1314,,,,,,0.0397,0.1332,0.1959,0.3269,0.2,0.0655,0.0253,326,2236,2324,2908,2085,987,173,18,49,51,42,43,32,14
1996,47955,150,423,1150,719,102,,,2958,,2565,,,,,,0.187,0.2481,0.2144,0.1898,0.0823,0.0314,0.0189,143,1823,2781,2398,1746,814,110,6,44,77,69,81,46,15
1997,53400,193,1198,1025,277,,322,957,2084,,1345,,,,,,0.0068,0.1099,0.0738,0.2922,0.3246,0.131,0.0284,,,1167,1838,1364,438,198,,,37,47,45,15,9
1998,22588,53,405,361,145,,66,373,777,,523,,,,,,0.013,0.05,0.1472,0.1741,0.2194,0.1685,0.1444,,,173,212,,,,,,12,16.5,,,
1999,23716,,252,495,330,,131,892,1118,,353,,,,,,0,0.0011,0.0317,0.2965,0.4037,0.1674,0.0613,,,,,,,,,,,,,,
2000,16173,,276,46,20,,32,,677,,113,,,,,,0,0.008,0.1118,0.2242,0.4451,0.1406,0.0462,,,,,,,,,,,,,,
2001,52207,,,1035,481,,154,,988,,1020,,,,,,0.0003,0.0384,0.1302,0.5577,0.1934,0.059,0.0118,,,,,789,334,26,,,,,20,10,2
2002,49214,,,526,280,,84,,605,,1149,,,,83217,17605,0.0592,0.1042,0.1371,0.184,0.4009,0.0808,0.0113,,,,,309,378,,,,,,12,21,
2003,56929,,,1658,687,,292,1115,1443,,3075,,,,106683,15946,0.1277,0.2343,0.2147,0.1928,0.076,0.0478,0.0509,,,845,909,666,150,33,,,21,31,30,7,4
2004,48111,,,1140,330,,226,792,1989,,762,,,,59415,7987,0.0353,0.1705,0.2403,0.2065,0.1734,0.0705,0.0434,,,1052,1213,974,318,128,,,34,42,49,25,16
2005,42245,,,1519,806.5,363,260,525,2632,5584,952,,78962,353,,,0.004,0.0734,0.1859,0.3071,0.1966,0.1717,0.0519,,,407,920,1829,722,95,,,22,22,41,25,4
2006,36748,,,1381,601,,114,677,1720,7308,1140,,71388,245,,,0.0097,0.0658,0.16,0.2006,0.3607,0.1113,0.052,,562,720,427,516,,,,31,23,19,20,,
2007,22120,,,451,137,,54,304,427,4450,600.5,,39698,143,,,,,,,,,,,,,,,,,,,,,,,
2008,14666,,,93,,,22,276,399,1329,303,,37282,116,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,821,497,,134,716,828,9261,1827,,69575,172,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,63,288,,94,270,672,3817,656,,34470,82,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,38,,,81,360,1534,5156,405,,50901,135,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,157,1030,2553,,3396,34656,135,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,312,1139,3239,,9916,30573,135,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,602,1601,6321,,17507,63431,135,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,964,1465,10071,,20410,83674,200,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,664,1556,6691,,,71567,200,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,1226,5672,,,71815,200,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,612,691,5159,,,57264,200,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,292,3820,,,45561,200,,,,,,,,,,,,,,,,,,,,,,,
