year	sonar	mark_recapture
1985	NA	29881
1986	NA	36479
1987	NA	30823
1988	NA	44445
1989	NA	42620
1990	NA	56679
1991	NA	41187
1992	NA	43185
1993	NA	45027
1994	NA	46680
1995	NA	52353
1996	NA	47955
1997	NA	53400
1998	NA	22588
1999	NA	23716
2000	NA	16173
2001	NA	52207
2002	NA	49214
2003	NA	56929
2004	NA	48111
2005	78962	42245
2006	71388	36748
2007	39698	22120
2008	37282	14666
2009	69575	NA
2010	34465	NA
2011	50901	NA
2012	34656	NA
2013	30573	NA
2014	63431	NA
2015	83674	NA
2016	71567	NA
2017	71815	NA
2018	57264	NA
2019	45561	NA
