"stock","year","2.5%","25%","50%","75%","97.5%","SD"
"LowerMainstem",1985,4551.75725913503,5627.50518051438,6206.30107824446,6780.62411115584,7851.7643648869,825.001776437968
"WhiteDonjek",1985,2535.10318580467,3737.38551284511,4354.15817389572,4993.08714514565,6218.82013880289,920.929238249555
"Pelly",1985,6500.18470895184,8012.48580596634,8819.37163384749,9637.94505897694,11230.9793767424,1182.69866694764
"Stewart",1985,4005.43912146541,5190.09133673179,5844.0960375988,6489.47975824909,7727.80694121486,930.591954937364
"Carmacks",1985,4038.02183411672,5295.26501241054,5949.03793603004,6624.73400513698,7888.52759635586,962.626440559784
"Teslin",1985,12737.1836406769,14705.1388718031,15713.1416223613,16714.9801167395,18669.9036616104,1483.18000523339
"MiddleMainstem",1985,5607.199365789,6598.97860472209,7125.68892018569,7637.04766796264,8643.65811774144,759.11468798811
"UpperLakesAndMainstem",1985,4047.52987400057,4870.75890601094,5288.79933713887,5710.28129757147,6517.10583727339,617.393990818205
"LowerMainstem",1986,9180.83449707315,10592.8526896004,11298.9269580929,12004.6183867881,13348.9703030335,1042.03395149008
"WhiteDonjek",1986,3687.88836600962,5184.9106648663,5984.12016832579,6768.8702561414,8263.28290094637,1143.84863373419
"Pelly",1986,10061.6006791151,12232.534002496,13359.1781300713,14510.1148055422,16662.4033252096,1650.20066152361
"Stewart",1986,4336.27075833129,5963.56855737844,6828.66441531083,7672.13855496855,9289.18835224486,1238.22939847839
"Carmacks",1986,5985.52593385327,7819.64961729689,8770.66848292867,9718.27499413352,11501.0033868361,1378.8693632457
"Teslin",1986,15495.8403127092,17952.0117378483,19296.2416186865,20648.5278547651,23272.7184275327,1944.21952870587
"MiddleMainstem",1986,11622.046949984,13214.6292563335,14027.7746905848,14842.2829126984,16372.0400553751,1187.49827634779
"UpperLakesAndMainstem",1986,2736.62462262158,3349.02267007025,3681.20271975592,4007.43259336364,4633.2232986347,474.149669003279
"LowerMainstem",1987,4879.20621406752,6006.51072443805,6603.63173768002,7211.24713791114,8321.7213845792,860.628792627921
"WhiteDonjek",1987,2687.34162582956,3818.88383462659,4397.57295753424,5004.48805573047,6121.68587155417,858.586061431151
"Pelly",1987,8329.78675839846,9868.26809072322,10693.2293268567,11503.2782495692,13022.2562939261,1173.11738388191
"Stewart",1987,3015.83858339042,4006.55581424038,4531.14931312469,5063.05729670924,6056.32297328669,760.121097474069
"Carmacks",1987,3949.10183990088,5072.62012170471,5669.56441974508,6267.79251027067,7387.56394382129,859.615525980102
"Teslin",1987,6141.92641943964,7455.7513519245,8178.96450008026,8879.35922928178,10229.2340947364,1021.82691882419
"MiddleMainstem",1987,6432.19579233439,7431.36061140727,7959.47013082671,8484.10727642706,9529.86633949774,774.417636790838
"UpperLakesAndMainstem",1987,1536.84820188491,2050.46217732678,2331.95494104615,2610.49541319811,3166.34329386798,407.373772995769
"LowerMainstem",1988,1894.37634615034,2456.576992027,2754.79932491439,3065.69353708836,3649.85440320039,438.869514262514
"WhiteDonjek",1988,3842.13594328083,4729.98647267465,5199.52072778037,5680.25746344337,6590.10711161225,686.992792082854
"Pelly",1988,4261.45070524611,5734.06700720747,16945.2692387958,18528.9978257513,20741.4236735951,4119.99324208725
"Stewart",1988,6969.66141817506,8859.8104009142,9764.83045410497,10638.9061793728,12255.7639200249,1321.52562546246
"Carmacks",1988,3.73124484176801,4771.97269401947,8145.69028791482,9630.19914559606,11638.2206625957,2908.62235443848
"Teslin",1988,862.246486572564,3857.79394422794,7654.35056712472,9632.35573361955,11573.7294763749,2677.87074745058
"MiddleMainstem",1988,5457.62330356252,6863.58184638438,7529.68350613722,8162.85973663198,9342.16639206997,971.135772126863
"UpperLakesAndMainstem",1988,596.243961900552,966.681307118918,1168.28818197338,1371.65443048909,1759.36850438624,290.781135621422
"LowerMainstem",1989,563.865845761808,1342.36943631487,1769.9467781122,2195.21869671507,3015.24621789089,612.84509303227
"WhiteDonjek",1989,8537.31259402033,11782.2489396206,13700.7959439396,15587.620461682,18594.8459528735,2514.3833397133
"Pelly",1989,6556.70064858059,12079.5002459736,15669.8391240316,18518.2605130316,21920.9332140205,3841.05814135999
"Stewart",1989,2740.49019455842,8419.6121593372,11600.9567719667,14914.5909186801,23437.3170931259,5174.20672464188
"Carmacks",1989,2650.54366168593,4323.828549291,5490.95951259248,10357.5423381888,17674.7535409875,3756.0524698254
"Teslin",1989,3140.0840012175,4921.07308065944,11996.9568132065,14835.7082894943,22178.9987314325,4759.72868255375
"MiddleMainstem",1989,176.738676602975,625.190043458499,894.1646003509,1179.05049944764,1790.50030344675,403.440406710944
"UpperLakesAndMainstem",1989,151.235663444381,391.744146123886,513.715671589658,635.586062602373,886.971019111529,183.933838916787
"LowerMainstem",1990,1052.46888612165,1696.03759316694,2051.51194513925,2392.51441252856,3069.47054638207,504.250415065104
