stock,year,mean,sd,lwr95CI,upr95CI,cv,obs
LwrMain,1985,4067,795,2974,5132,0.19547578067371527,1
LwrMain,1986,7451,1029,6046,8819,0.13810226815192592,1
LwrMain,1987,4622,837,3445,5793,0.18109043704024233,1
LwrMain,1988,1587,832,139,2305,0.5242596093257719,1
LwrMain,1989,1369,4306,23,13386,3.1453615777940103,1
LwrMain,1990,1515,508,766,2305,0.3353135313531353,1
LwrMain,1991,12179,1305,10391,13920,0.10715165448723211,1
LwrMain,1992,5661,988,4304,7021,0.1745274686451157,1
LwrMain,1993,10992,1298,9193,12763,0.1180858806404658,1
LwrMain,1994,14305,1557,12036,16587,0.10884306186648025,1
LwrMain,1995,8335,1234,6592,10128,0.1480503899220156,1
LwrMain,1996,11570,1307,9507,13644,0.11296456352636128,1
LwrMain,1997,10754,1027,9138,12317,0.09549934907941231,1
LwrMain,1998,1322,375,712,2000,0.283661119515885,1
LwrMain,1999,5613,754,4473,6738,0.13433101728131125,1
LwrMain,2000,6700,746,5444,7957,0.11134328358208956,1
LwrMain,2001,6862,1438,4439,9289,0.20955989507432235,1
LwrMain,2002,8318,1035,6609,10018,0.12442894926665064,1
LwrMain,2003,15545,1589,12706,18397,0.10221936313927307,1
LwrMain,2004,10740,2229,5882,13155,0.20754189944134077,1
LwrMain,2005,11410,1351,9078,13731,0.11840490797546012,1
LwrMain,2006,13827,736,12391,14975,0.053229189267375424,1
LwrMain,2007,3991,928,2358,5623,0.2325231771485843,1
LwrMain,2008,4659,389,3964,5380,0.08349431208413823,1
LwrMain,2009,7690,1025,5898,9743,0.13328998699609884,1
LwrMain,2010,4044,816,2530,5560,0.20178041543026706,1
LwrMain,2011,3165,589,2121,4265,0.18609794628751974,1
LwrMain,2012,1876,1878,768,7848,1.0010660980810235,1
LwrMain,2013,6188,1986,95,7545,0.32094376212023273,1
LwrMain,2014,1597,521,690,2770,0.32623669380087666,1
LwrMain,2015,11580,2673,2412,12979,0.23082901554404145,1
LwrMain,2016,5314,3932,3946,19063,0.7399322544222807,1
LwrMain,2017,5106,2065,3174,11017,0.4044261652957305,1
LwrMain,2018,3073,2365,1754,10705,0.7696062479661568,1
LwrMain,2019,1634,406,884,2396,0.2484700122399021,1
Stewart,1985,3959,924,2716,5225,0.23339227077544836,1
Stewart,1986,4578,1209,2950,6206,0.264089121887287,1
Stewart,1987,3172,773,2092,4262,0.24369482976040352,1
Stewart,1988,491,2967,4,7725,6.042769857433808,1
Stewart,1989,11155,7578,1926,25443,0.6793366203496191,1
Stewart,1990,13306,4276,5912,18865,0.3213587855102961,1
